Trained from O 2024-05-05 17-57-38,Data: OCT-normal-drusen-demo,batchSize = 4,LR = 0.001,epochNum = 15,timeElapsed = 1m  35.55s
1,0.6222222447395325,0.8928571343421936,0.6405042780770196,0.2938683625994896,0.001
2,0.7222222685813904,0.918367326259613,0.5811306330892775,0.2474678415729075,0.001
3,0.5111111402511597,0.918367326259613,0.825370775659879,0.2557341654841997,0.001
4,0.6777777671813965,0.8979591727256775,0.5852867702643076,0.2732694130771014,0.001
5,0.699999988079071,0.9438775181770325,0.5935259130265977,0.23234794592979002,0.001
6,0.6777777671813965,0.9234693646430969,0.6387076305018531,0.2222039952722131,0.001
7,0.7444444894790649,0.8979591727256775,0.556922788090176,0.2717590601924731,0.001
8,0.7111111283302307,0.9540815949440002,0.5862096819612715,0.1969362754298716,0.001
9,0.7222222685813904,0.9132652878761292,0.5762894206576877,0.21142148591425955,0.001
10,0.7666667103767395,0.9234693646430969,0.5693379759788513,0.2094235316070975,0.001
11,0.7111111283302307,0.9285714030265808,0.6261561009618971,0.22468075049774988,0.001
12,0.7333333492279053,0.9387754797935486,0.5260952095190684,0.18919435333536597,0.001
13,0.6888889074325562,0.9744897484779358,0.5635598831706576,0.15075760517193346,0.001
14,0.7222222685813904,0.9132652878761292,0.5967853917015924,0.2563902027144724,0.001
15,0.6888889074325562,0.964285671710968,0.6152737749947442,0.17882114587997905,0.001
