Trained from ResNet152,Data: Fundus-normal-DR-demo,batchSize = 4,LR = 0.001,epochNum = 10,timeElapsed = 2m  26.45s
1,0.550000011920929,0.5476190447807312,0.6813236713409424,0.685177294980912,0.001
2,0.5,0.738095223903656,0.6711544275283814,0.5478917942160652,0.001
3,0.550000011920929,0.8571428656578064,0.6830856740474701,0.4816189805666606,0.001
4,0.550000011920929,0.8333333730697632,0.6660905957221985,0.4548101850918361,0.001
5,0.4000000059604645,0.785714328289032,0.6797370553016663,0.3854675420692989,0.001
6,0.550000011920929,0.8571428656578064,0.6938268840312958,0.3687060943671635,0.001
7,0.6500000357627869,0.9523809552192688,0.6924683213233948,0.302847649369921,0.001
8,0.550000011920929,0.9523809552192688,0.7197420954704284,0.3170117537180583,0.001
9,0.6000000238418579,0.9761905074119568,0.7174004197120667,0.28979473738443284,0.001
10,0.5,0.8809524178504944,0.7531923413276672,0.30221881681964513,0.001
